titratable_acidity,fat_milk_over_100mg_,pH_sour_milk_initial,streptococcus_strain_,lactobacillus_strain_,minimum_milk_proteins,ideal_temperature_c,quality_product
1.16,2.7107,4.59,5.025,4.537,2.492,41.138,Low fat yogurt
1.133,1.1536,4.471,5.588,5.163,2.598,40.442,Low fat yogurt
0.978,1.3228,4.453,5.166,4.801,2.575,41.507,Low fat yogurt
1.144,3.5009,4.464,4.409,4.647,2.634,41.17,Regular yogurt
1.066,3.0599,4.595,5.5,4.906,2.616,40.367,Low fat yogurt
0.96,1.674,4.59,4.436,4.607,2.591,40.137,Low fat yogurt
1.067,1.9586,4.482,4.247,5.556,2.596,40.037,Low fat yogurt
1.139,3.077,4.478,4.003,4.122,2.415,40.534,Low fat yogurt
0.98,1.591,4.408,4.449,5.233,2.524,41.883,Low fat yogurt
1.018,3.8057,4.467,5.868,5.425,2.628,41.759,Regular yogurt
1.162,1.9953,4.558,5.363,5.556,2.475,41.669,Low fat yogurt
0.999,1.3015,4.422,4.054,5.568,2.51,41.048,Low fat yogurt
1.084,3.1419,4.409,4.403,4.445,2.439,41.364,Low fat yogurt
0.972,1.4817,4.414,4.683,5.239,2.613,40.111,Low fat yogurt
1.128,1.0146,4.551,4.262,5.629,2.684,40.289,Non fat yogurt
1.043,1.0633,4.492,4.747,4.913,2.681,41.619,Non fat yogurt
0.983,2.2796,4.53,4.999,4.275,2.597,40.255,Low fat yogurt
1.087,2.426,4.519,5.968,5.935,2.551,40.966,Low fat yogurt
1.153,1.7348,4.499,4.058,5.858,2.404,40.354,Low fat yogurt
1.135,1.8688,4.525,5.894,4.82,2.492,41.487,Low fat yogurt
1.189,2.2923,4.489,4.616,4.117,2.58,40.735,Low fat yogurt
1.117,3.3818,4.527,5.027,4.691,2.676,40.828,Regular yogurt
1.02,1.951,4.523,5.113,5.811,2.476,40.104,Low fat yogurt
1.003,1.6649,4.487,5.645,4.471,2.518,41.552,Low fat yogurt
1.016,1.6812,4.526,4.721,5.986,2.64,40.214,Low fat yogurt
1.041,2.3844,4.59,5.995,4.52,2.652,41.627,Low fat yogurt
0.969,2.1902,4.521,4.8,4.274,2.649,40.169,Low fat yogurt
1.08,2.5813,4.471,4.122,4.487,2.69,40.327,Low fat yogurt
1.174,3.8458,4.497,4.472,5.293,2.62,41.503,Regular yogurt
1.125,1.5171,4.552,5.606,4.447,2.662,40.575,Low fat yogurt
1.039,1.0623,4.482,5.091,4.852,2.659,41.577,Non fat yogurt
1.08,3.2604,4.561,5.572,5.221,2.559,41.811,Regular yogurt
1.117,1.0291,4.579,5.13,4.757,2.614,41.99,Non fat yogurt
0.976,3.9699,4.459,5.92,4.852,2.508,41.304,Regular yogurt
1.146,2.4471,4.562,4.567,5.221,2.405,40.599,Low fat yogurt
1.166,1.6393,4.436,4.772,4.917,2.549,41.403,Low fat yogurt
1.162,2.3059,4.52,5.013,4.595,2.449,41.725,Low fat yogurt
1.144,1.008,4.425,5.654,4.319,2.68,41.181,Non fat yogurt
1.178,1.7388,4.564,5.179,5.749,2.457,40.051,Low fat yogurt
1.025,1.0451,4.485,4.907,5.945,2.402,41.683,Non fat yogurt
1.007,3.085,4.473,4.169,5.787,2.531,40.776,Low fat yogurt
1.115,3.6772,4.501,4.225,4.508,2.446,41.087,Regular yogurt
0.965,1.0244,4.453,5.03,4.545,2.592,40.827,Non fat yogurt
1.049,2.4106,4.526,5.721,4.693,2.642,41.027,Low fat yogurt
1.132,1.3738,4.517,4.643,5.865,2.675,41.4,Low fat yogurt
1.026,3.7082,4.537,4.923,5.709,2.609,40.805,Regular yogurt
0.99,1.8225,4.425,4.126,4.932,2.519,40.353,Low fat yogurt
1.136,2.7617,4.531,4.381,4.19,2.498,41.21,Low fat yogurt
1.14,3.5788,4.458,4.657,5.852,2.561,41.862,Regular yogurt
0.957,2.7379,4.466,5.454,4.656,2.576,40.369,Low fat yogurt
1.14,2.1753,4.493,4.541,4.37,2.623,40.477,Low fat yogurt
0.986,3.3114,4.434,4.918,4.289,2.426,41.825,Regular yogurt
1.09,3.7352,4.527,5.607,4.996,2.611,40.747,Regular yogurt
1.023,2.173,4.536,4.485,5.484,2.518,41.307,Low fat yogurt
1.058,3.8131,4.495,4.256,4.304,2.659,40.754,Regular yogurt
1.081,3.9444,4.522,4.293,5.717,2.467,40.342,Regular yogurt
1.152,2.1459,4.538,5.5,5.195,2.435,40.201,Low fat yogurt
1.043,3.4182,4.546,5.947,4.405,2.415,40.883,Regular yogurt
1.019,3.9688,4.586,5.777,5.923,2.667,40.429,Regular yogurt
1.017,2.7514,4.416,5.358,5.956,2.553,41.365,Low fat yogurt
0.963,3.4085,4.546,5.669,4.432,2.537,40.121,Regular yogurt
0.976,2.78,4.57,4.75,4.246,2.515,41.733,Low fat yogurt
0.993,1.772,4.557,4.836,4.49,2.454,40.115,Low fat yogurt
1.056,3.1816,4.484,5.733,5.199,2.622,41.327,Low fat yogurt
1.014,2.508,4.548,5.073,5.15,2.482,41.297,Low fat yogurt
1.128,2.9744,4.406,5.384,4.395,2.553,40.674,Low fat yogurt
0.997,2.0701,4.503,5.218,4.051,2.663,40.22,Low fat yogurt
1.098,2.5048,4.445,4.564,4.115,2.556,41.502,Low fat yogurt
1.044,1.5237,4.507,4.34,5.947,2.49,40.029,Low fat yogurt
0.979,1.5386,4.521,4.723,4.721,2.551,41.135,Low fat yogurt
1.178,3.281,4.45,5.606,5.537,2.52,40.958,Regular yogurt
1.125,2.2325,4.414,4.162,4.476,2.624,40.343,Low fat yogurt
1.186,3.2306,4.589,4.961,5.06,2.588,41.77,Low fat yogurt
1.047,1.5208,4.566,5.131,4.302,2.647,40.206,Low fat yogurt
1.002,3.6265,4.439,4.723,4.382,2.54,40.661,Regular yogurt
1.148,2.0527,4.463,5.146,5.846,2.642,41.107,Low fat yogurt
1.024,3.0407,4.434,5.868,5.978,2.546,41.905,Low fat yogurt
1.047,2.7832,4.483,4.766,4.571,2.472,41.633,Low fat yogurt
1.119,1.515,4.54,5.113,5.668,2.671,41.998,Low fat yogurt
1.095,1.2935,4.421,5.598,4.574,2.692,40.402,Low fat yogurt
1.128,3.2747,4.452,5.85,5.382,2.561,40.064,Regular yogurt
1.141,1.0073,4.497,4.062,5.373,2.51,41.729,Non fat yogurt
1.076,2.1329,4.566,4.975,4.921,2.647,41.758,Low fat yogurt
1.093,1.3982,4.484,5.055,5.641,2.696,40.671,Low fat yogurt
0.999,1.0204,4.508,4.659,5.992,2.594,41.724,Non fat yogurt
1.115,3.7598,4.443,4.656,5.387,2.467,41.175,Regular yogurt
1.102,3.1772,4.544,5.536,5.708,2.668,41.22,Low fat yogurt
1.158,1.1508,4.549,4.636,5.75,2.534,40.588,Low fat yogurt
1.131,1.6987,4.412,5.874,4.513,2.657,41.259,Low fat yogurt
1.068,1.2565,4.435,5.112,4.006,2.401,40.338,Low fat yogurt
1.04,3.9061,4.492,4.242,5.108,2.499,41.367,Regular yogurt
1.013,1.2782,4.449,4.75,4.952,2.528,40.239,Low fat yogurt
1.007,2.9687,4.444,5.01,5.116,2.565,41.424,Low fat yogurt
1.122,2.0273,4.54,5.683,5.346,2.584,41.067,Low fat yogurt
1.16,3.1575,4.594,4.506,5.176,2.46,41.155,Low fat yogurt
0.955,2.6734,4.409,5.754,4.033,2.449,41.684,Low fat yogurt
1.165,2.1425,4.594,5.346,5.927,2.496,41.576,Low fat yogurt
1.042,2.4997,4.552,4.472,5.785,2.593,40.201,Low fat yogurt
1.184,3.3928,4.401,5.78,5.136,2.618,41.96,Regular yogurt
1.135,2.9413,4.415,4.999,4.729,2.566,41.2,Low fat yogurt
1.011,3.6087,4.504,5.514,4.164,2.51,41.991,Regular yogurt
1.01,2.4062,4.582,5.403,4.798,2.687,41.108,Low fat yogurt
1.127,1.6243,4.439,4.224,5.164,2.539,41.346,Low fat yogurt
1.171,2.5872,4.597,5.537,5.918,2.692,41.532,Low fat yogurt
1.061,2.5122,4.494,5.449,4.318,2.696,40.639,Low fat yogurt
1.123,1.1519,4.456,4.766,5.289,2.539,40.831,Low fat yogurt
1.117,3.3611,4.55,4.074,5.424,2.548,41.4,Regular yogurt
1.104,1.3045,4.557,5.763,4.668,2.609,40.492,Low fat yogurt
1.106,1.6562,4.502,4.576,5.222,2.485,41.827,Low fat yogurt
1.114,1.2787,4.456,4.988,5.21,2.557,40.823,Low fat yogurt
1.026,3.2717,4.46,4.39,4.81,2.453,40.244,Regular yogurt
1.058,1.7363,4.491,5.51,4.554,2.569,40.751,Low fat yogurt
1.113,1.1491,4.564,4.355,5.306,2.603,40.679,Low fat yogurt
1.093,2.3191,4.553,5.419,5.305,2.635,41.964,Low fat yogurt
1.074,2.6833,4.449,4.649,5.632,2.592,40.613,Low fat yogurt
1.029,3.1132,4.441,4.523,4.378,2.424,40.306,Low fat yogurt
1.068,2.7255,4.428,5.034,4.809,2.508,40.145,Low fat yogurt
1.004,3.617,4.531,4.58,4.07,2.664,40.45,Regular yogurt
0.952,2.2889,4.472,5.165,4.95,2.561,41.942,Low fat yogurt
1.124,1.2694,4.56,4.906,4.779,2.408,40.109,Low fat yogurt
1.12,2.8827,4.598,5.17,4.549,2.585,40.84,Low fat yogurt
1.099,2.4029,4.458,4.619,4.891,2.657,40.731,Low fat yogurt
1.008,3.9919,4.479,4.19,4.775,2.687,40.26,Regular yogurt
1.097,3.747,4.483,4.385,4.179,2.673,40.052,Regular yogurt
0.961,1.3288,4.402,4.316,5.381,2.632,40.746,Low fat yogurt
1.128,2.6593,4.534,5.501,4.529,2.547,40.612,Low fat yogurt
1.028,3.6435,4.511,4.206,5.329,2.607,40.494,Regular yogurt
1.146,1.6823,4.543,4.469,5.019,2.513,41.349,Low fat yogurt
0.957,2.4131,4.401,5.059,5.244,2.568,40.613,Low fat yogurt
1.055,3.5532,4.544,4.239,4.485,2.594,40.389,Regular yogurt
1.131,1.2261,4.408,5.42,5.101,2.695,40.297,Low fat yogurt
1.024,3.131,4.413,5.453,4.892,2.405,41.297,Low fat yogurt
1.014,3.7754,4.594,4.536,5.842,2.652,41.953,Regular yogurt
1.134,2.2438,4.515,5.924,4.318,2.467,41.415,Low fat yogurt
1.125,2.6751,4.568,4.922,4.077,2.64,40.788,Low fat yogurt
1.154,3.1222,4.425,5.511,5.379,2.624,40.211,Low fat yogurt
1.189,3.4935,4.489,5.545,4.429,2.628,41.022,Regular yogurt
1.179,2.0408,4.417,5.53,4.242,2.576,40.619,Low fat yogurt
1.045,2.5932,4.476,5.207,4.497,2.567,41.792,Low fat yogurt
1.024,3.8557,4.496,5.745,5.397,2.454,40.007,Regular yogurt
1.11,2.196,4.535,4.437,4.633,2.445,40.56,Low fat yogurt
0.953,3.0236,4.598,4.619,4.39,2.421,41.223,Low fat yogurt
1.165,2.9659,4.584,5.246,5.138,2.511,41.707,Low fat yogurt
1.15,3.3973,4.563,4.428,4.271,2.578,41.222,Regular yogurt
1.048,3.1468,4.56,5.179,5.265,2.463,41.924,Low fat yogurt
1.007,2.3066,4.565,4.845,4.775,2.68,40.94,Low fat yogurt
1.032,1.5135,4.416,4.902,5.359,2.425,41.972,Low fat yogurt
1.173,3.4427,4.427,5.306,4.277,2.662,41.981,Regular yogurt
0.963,2.2935,4.562,4.614,4.207,2.679,40.376,Low fat yogurt
1.086,3.6355,4.416,4.515,4.086,2.631,40.673,Regular yogurt
1.056,2.528,4.59,4.711,5.001,2.413,40.981,Low fat yogurt
1.157,3.5368,4.551,4.345,4.381,2.563,40.763,Regular yogurt
0.957,1.4076,4.466,5.766,5.277,2.474,40.72,Low fat yogurt
1.015,1.7663,4.517,5.435,5.269,2.492,41.161,Low fat yogurt
1.124,1.0231,4.507,5.633,5.152,2.483,41.944,Non fat yogurt
1.124,2.5813,4.565,4.584,4.491,2.574,40.654,Low fat yogurt
1.158,2.0986,4.532,5.626,5.856,2.623,41.07,Low fat yogurt
0.974,1.5641,4.493,5.624,4.056,2.447,41.603,Low fat yogurt
1.178,3.3588,4.414,5.642,4.988,2.543,40.837,Regular yogurt
1.046,1.5533,4.599,5.756,5.876,2.647,41.579,Low fat yogurt
1.14,1.8093,4.434,5.197,4.603,2.458,40.751,Low fat yogurt
1.109,2.4925,4.538,5.188,5.251,2.592,41.264,Low fat yogurt
1.181,3.9976,4.555,5.339,5.042,2.424,41.374,Regular yogurt
1.093,3.7847,4.54,5.563,4.811,2.695,40.202,Regular yogurt
1.046,1.0496,4.405,4.584,4.551,2.679,40.042,Non fat yogurt
1.121,2.5677,4.408,5.524,5.023,2.618,40.246,Low fat yogurt
1.186,1.4658,4.506,4.994,5.594,2.425,40.834,Low fat yogurt
1.174,2.2731,4.558,5.03,4.806,2.574,41.724,Low fat yogurt
1.149,1.6073,4.544,4.146,4.549,2.5,41.427,Low fat yogurt
1.059,3.3007,4.493,4.707,5.131,2.594,41.032,Regular yogurt
0.969,3.2723,4.487,5.374,4.856,2.512,41.304,Regular yogurt
1.131,1.6651,4.491,5.977,4.548,2.494,40.761,Low fat yogurt
1.105,2.89,4.505,5.539,4.459,2.465,41.054,Low fat yogurt
1.08,2.8786,4.46,4.831,5.283,2.632,41.284,Low fat yogurt
0.974,3.8729,4.473,5.67,5.003,2.683,41.825,Regular yogurt
1.03,3.0473,4.565,4.866,5.98,2.552,41.752,Low fat yogurt
0.982,1.324,4.458,4.742,5.735,2.474,41.005,Low fat yogurt
1.016,2.7386,4.549,5.231,5.935,2.579,40.213,Low fat yogurt
0.963,3.4901,4.544,4.441,5.362,2.459,41.142,Regular yogurt
0.988,3.5087,4.409,4.053,4.162,2.54,40.542,Regular yogurt
1.106,3.9189,4.563,4.064,4.882,2.613,40.686,Regular yogurt
1.128,3.2856,4.479,5.636,4.232,2.602,41.905,Regular yogurt
0.983,2.1214,4.452,4.105,4.807,2.468,40.278,Low fat yogurt
1.057,2.539,4.513,5.604,4.573,2.692,41.269,Low fat yogurt
1.1,2.0525,4.516,5.669,4.758,2.59,40.787,Low fat yogurt
0.951,2.7238,4.426,5.681,5.344,2.65,41.754,Low fat yogurt
1.17,1.8025,4.559,4.964,5.681,2.496,41.825,Low fat yogurt
1.161,2.3745,4.44,5.061,5.072,2.57,40.198,Low fat yogurt
1.142,2.4609,4.513,5.933,4.235,2.657,40.297,Low fat yogurt
1.022,1.6371,4.457,4.928,4.291,2.49,40.329,Low fat yogurt
1.06,3.1728,4.597,5.064,4.081,2.509,41.264,Low fat yogurt
0.98,1.4493,4.573,5.114,4.281,2.598,40.137,Low fat yogurt
1.096,1.9038,4.592,5.183,5.308,2.577,41.531,Low fat yogurt
1.025,1.8202,4.519,4.564,4.633,2.403,40.414,Low fat yogurt
1.002,1.2271,4.469,5.005,4.656,2.585,41.381,Low fat yogurt
0.958,1.6965,4.57,5.146,5.487,2.506,40.572,Low fat yogurt
1.028,1.8891,4.538,5.124,4.628,2.56,40.84,Low fat yogurt
0.952,1.1835,4.582,5.85,5.046,2.443,40.737,Low fat yogurt
1.018,1.937,4.549,5.716,4.066,2.403,41.938,Low fat yogurt
0.973,2.1617,4.513,4.474,4.515,2.667,41.74,Low fat yogurt
1.1,1.9076,4.445,5.919,4.593,2.663,41.041,Low fat yogurt
1.175,1.7535,4.428,4.41,5.094,2.553,41.881,Low fat yogurt
1.03,2.8031,4.551,4.923,4.988,2.696,41.79,Low fat yogurt
1.174,2.1865,4.442,5.334,5.173,2.539,41.158,Low fat yogurt
1.153,2.9043,4.468,4.551,4.293,2.497,40.44,Low fat yogurt
1.088,1.381,4.526,4.248,4.698,2.649,40.446,Low fat yogurt
1.054,3.8875,4.447,4.207,5.391,2.648,41.572,Regular yogurt
1.186,2.9839,4.438,4.21,5.783,2.461,40.634,Low fat yogurt
1.172,3.7859,4.475,5.975,4.888,2.514,41.562,Regular yogurt
1.026,3.504,4.426,4.647,5.015,2.433,41.271,Regular yogurt
1.007,1.7013,4.444,4.813,5.781,2.519,40.085,Low fat yogurt
1.142,2.4434,4.494,4.544,4.246,2.49,40.476,Low fat yogurt
